percent_male	male_count	femalecount	word
38.89	4846	1348	banken
48.74	16280	3032	lässt
50.36	5312	927	hohen
36.58	2059	632	bezahlt
57.89	3432	442	vorerst
46.51	5028	1024	kontrolle
31.21	2675	1044	reisen
51.39	7237	1212	wert
18.77	847	649	instagram
50.63	5166	892	zahlreiche
48.66	6403	1196	gestellt
53.03	4509	707	öffentlichen
77.66	5772	294	beteiligt
44.07	10908	2451	treffen
51.38	6100	1022	erwartet
40.88	12905	3305	beispiel
67.30	3732	321	tatort
68.13	3525	292	nationen
89.49	3511	73	halbzeit
15.53	1413	1361	schauspielerin
22.42	2102	1288	ließen
46.09	3984	825	demonstranten
81.90	9583	375	angesichts
26.24	1732	862	begleitet
50.66	5103	880	vorwürfe
59.22	4183	510	auftrag
70.48	5840	433	andreas
57.18	3530	468	stimmung
65.15	3642	345	berufung
38.48	2360	668	verschiedene
34.22	1910	650	lösen
48.54	3149	591	reicht
0.67	70	1838	1em
36.10	1940	608	beraten
57.16	5870	779	wagen
26.71	1268	616	wünschen
62.97	4217	439	verdacht
58.99	7580	933	preis
82.90	10350	378	ukraine
60.42	4432	514	zusammenarbeit
46.11	10021	2074	ziel
73.15	4846	315	bundeswehr
52.41	6033	970	mitglieder
32.41	3537	1306	ärzte
90.13	4642	90	volontariat
62.78	4840	508	international
51.20	4219	712	genannt
37.90	2534	735	computer
57.24	4974	658	beginnt
56.49	3344	456	aktuell
34.28	1841	625	laden
56.55	3801	517	linie
59.57	6267	753	internationale
36.58	2398	736	geburtstag
71.17	3569	256	bau
50.74	18508	3182	uhr
32.55	5678	2083	endlich
38.74	7827	2191	buch
53.68	6525	997	großbritannien
52.43	5278	848	besuch
0.00	0	1806	1.1em
5.65	207	612	schwein
54.77	6724	983	schritt
52.26	4557	737	eindruck
57.69	3543	460	bereich
59.73	10088	1204	studie
49.93	3329	591	wichtigen
59.96	11196	1324	obama
66.45	7036	629	französischen
54.91	5433	790	fällt
42.65	4490	1069	arbeitete
55.66	3927	554	betonte
61.47	3848	427	konkurrenz
0.01	1	1806	margin-right:20px
28.44	2123	946	starten
39.19	4262	1171	text
84.98	3899	122	stürmer
27.53	8986	4188	informationen
57.17	14807	1964	2012
91.17	4546	78	nzz
48.88	10028	1857	nächsten
63.32	10802	1108	hieß
61.77	4518	495	versuch
52.70	4928	783	langen
0.00	0	1806	356b00
59.30	4452	541	überraschend
44.07	5679	1276	idee
70.00	8185	621	christian
55.10	5419	782	verantwortlich
74.47	3937	239	spanischen
60.85	3406	388	zentralbank
28.66	1917	845	bauen
0.02	2	1710	kurzrezension
31.96	3722	1403	tiere
59.05	4853	596	kündigte
30.40	2923	1185	fragt
70.74	24501	1794	stadt
0.97	59	1070	lesbische
8.37	304	589	voss
0.00	0	1806	margin-right:10px
45.10	5930	1278	bürger
0.70	42	1060	lieblingsthema
41.68	3027	750	voll
64.67	3763	364	james
51.44	4403	736	offiziell
41.07	2393	608	zusätzlich
39.50	2507	680	test
57.45	32878	4311	millionen
49.41	4104	744	satz
40.72	7339	1892	versucht
29.29	2335	998	leisten
41.69	5221	1293	kraft
47.42	9570	1879	alte
57.27	7041	930	2008
31.12	3031	1188	egal
53.04	8875	1391	soldaten
56.55	9402	1279	china
31.88	2632	996	erlebt
43.40	4001	924	gefängnis
65.29	9698	913	zweite
36.94	2299	695	verletzungen
35.40	3872	1251	selten
43.71	9750	2223	cdu
75.41	8419	486	frühere
62.27	12455	1336	september
72.15	9000	615	ehemalige
52.46	4407	707	meint
54.62	4520	665	anhänger
47.36	3785	745	details
75.80	14237	805	trainer
45.28	2818	603	grundsätzlich
80.61	3804	162	schalke
14.60	1017	1053	anna
45.33	3470	741	licht
50.87	17715	3029	deutlich
77.27	7565	394	runde
44.91	4613	1002	f\xc3\xbcr
44.01	3614	814	gerät
6.71	256	630	vergewaltigt
58.72	3478	433	viertel
50.75	4411	758	hoffnung
36.70	1968	601	abends
34.74	3827	1273	erkennen
38.94	2874	798	ruhe
48.19	4218	803	wichtige
41.13	3019	765	politisch
65.14	5436	515	mensch
75.53	3469	199	bundesrepublik
62.40	6579	702	früheren
60.66	3257	374	kiew
37.12	45047	13512	menschen
56.39	7552	1034	getötet
56.52	6189	843	parlament
6.30	757	1993	font-size
41.97	9899	2423	stark
57.04	3937	525	zitiert
31.86	9231	3496	zeigen
19.54	934	681	baby
65.13	9389	890	washington
1.15	155	2360	unterdrücken
50.61	6539	1130	europäische
64.97	4023	384	kölner
54.82	3769	550	starke
2.07	362	3034	buchs
13.79	1438	1592	gelangen
39.72	2642	710	gruppen
56.10	7311	1013	führt
57.28	3340	441	antrag
74.17	4687	289	regisseur
63.75	4629	466	galt
53.97	11417	1724	rolle
66.95	4943	432	minister
26.49	1679	825	freunden
24.24	1310	725	beruf
43.78	12942	2943	außerdem
66.94	3523	308	steinmeier
33.23	2898	1031	unterstützen
29.04	3026	1309	schützen
72.16	9634	658	größte
21.92	961	606	haare
48.13	4209	803	system
40.75	7220	1859	kopf
63.12	3286	340	frankreichs
34.80	3585	1189	glück
50.00	6139	1087	start
18.00	3130	2525	redaktion
80.08	5925	261	mitglied
13.63	526	590	genervt
51.81	3370	555	rebellen
56.69	16323	2208	spiel
58.24	13783	1750	knapp
15.69	720	685	bekamen
39.09	6904	1905	hilfe
60.17	13695	1605	januar
39.89	3261	870	app
45.62	4420	933	meinung
32.36	5457	2020	alt
58.43	5557	700	geführt
52.80	6425	1017	krieg
29.63	1420	597	wechseln
65.30	4219	397	rom
68.19	3754	310	sprecherin
55.71	3588	505	vorgeworfen
59.00	9810	1207	kilometer
44.29	3377	752	fällen
54.86	3412	497	größer
66.32	10375	933	internationalen
23.20	1044	612	trinken
36.31	2357	732	gegenteil
30.62	1640	658	langer
26.26	1732	861	geschichten
38.22	2963	848	risiko
47.11	3341	664	übernehmen
5.62	664	1973	mobile
46.79	6679	1345	stimmen
55.33	5610	802	afd
88.42	11343	263	universität
34.32	5787	1961	kamen
72.30	4702	319	stefan
16.39	4360	3937	fußball
79.80	7744	347	partie
68.08	5939	493	spielte
73.68	12650	800	chef
58.00	51486	6602	prozent
18.58	1933	1500	fühlen
54.36	4641	690	schweren
44.94	3997	867	glaubt
26.92	1234	593	gezwungen
42.50	4212	1009	monat
48.76	13662	2542	erklärt
78.87	3858	183	manchester
37.99	3370	974	album
41.15	3740	947	ausland
40.90	4452	1139	gehören
50.10	3890	686	gewählt
63.74	5142	518	französische
75.32	3585	208	bayerischen
50.86	3794	649	schaden
99.02	4558	8	korrespondent
53.88	22765	3450	großen
37.03	2365	712	erfahrungen
52.75	4180	663	diesmal
32.22	1732	645	achten
57.99	5098	654	herbst
74.27	4337	266	wechsel
45.66	4494	947	raum
47.06	6180	1231	ermittlungen
15.29	779	764	tipps
77.82	6063	306	ball
56.93	6018	806	großer
16.04	1303	1208	schauen
76.20	3707	205	großteil
69.28	4752	373	reuters
42.15	3914	951	bedeutet
45.18	5944	1277	bekommt
33.16	15991	5708	geld
46.58	3295	669	posten
66.44	5972	534	serie
3.64	397	1863	background
45.85	3835	802	stück
50.21	5103	896	gesetz
37.35	2441	725	spaß
76.95	4696	249	real
52.69	10492	1668	medien
64.87	7216	692	moskau
42.56	2670	638	hilft
68.80	6562	527	opposition
54.08	4257	640	schluss
42.43	2672	642	flüchtlingen
56.14	5790	801	fdp
48.66	11700	2186	art
42.15	3029	736	tot
47.48	3104	608	erscheint
56.76	9393	1267	april
49.83	5317	948	verfahren
